Time Interval,Date,Temperature (ºF),Temperature (ºC),pH (mV),Salinity (PSU),Conductivity (µS/cm),"Conductivity, Non-Linear Function (µS/cm)","Conductivity, Specific (µS/cm)",Dissolved Oxygen (mg/L),"Dissolved Oxygen, Saturated (%)","Dissolved Oxygen, Local (%)",Oxygen Reduction Potential (mV),Chlorophyll (RFU),Total Algae (RFU),Total Dissolved Solids (mg/L),pH (YSI),Turbidity (RFU),Phosphate (mg/L),"Nitrate, Mid-Range (mg/L)","Nitrate, High-Range (mg/L)",pH (Hach),Alkalinity (mg/L CaCO3),Silica (mg/L),Iron (mg/L),Ammonia (mg/L)
Weekly,2011-07-23,76.2125,24.6,NA,29.7,45500,NA,NA,NA,NA,NA,261,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2011-07-30,77.0563,25.1,NA,29.6,45800,NA,NA,NA,NA,NA,276,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2011-08-06,79.0812,26.2,NA,29.2,46300,NA,NA,NA,NA,NA,277,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2011-08-13,80.2625,26.8,NA,29.2,46900,NA,NA,NA,NA,NA,278,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2011-08-20,78.7438,26,NA,29.1,46000,NA,NA,NA,NA,NA,285,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2011-08-27,78.2375,25.7,NA,29.1,45700,NA,NA,NA,NA,NA,295,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2011-09-03,78.575,25.9,NA,29,45800,NA,NA,NA,NA,NA,294,NA,NA,NA,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2011-09-10,78.125,25.7,NA,28.9,45500,NA,NA,NA,NA,NA,301,NA,NA,NA,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2011-09-17,76.9438,25,NA,28.9,44800,NA,NA,NA,NA,NA,301,NA,NA,NA,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2011-09-24,77.08439999999999,25.1,NA,28.8,44800,NA,NA,NA,NA,NA,302,NA,NA,NA,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2011-10-01,78.2375,25.7,NA,28.8,45350,NA,NA,NA,NA,NA,300,NA,NA,NA,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2011-10-08,78.35,25.8,NA,28.8,45300,NA,NA,NA,NA,NA,305,NA,NA,NA,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2011-10-15,79.72815,26.5,NA,28.8,46000,NA,NA,NA,NA,NA,318,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2011-10-22,78.0125,25.6,NA,28.8,45200,NA,NA,NA,NA,NA,341,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2011-10-29,78.2938,25.7,NA,28.8,45400,NA,NA,NA,NA,NA,367,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2011-11-05,78.1813,25.7,NA,28.8,45300,NA,NA,NA,NA,NA,373,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2011-11-12,78.5187,25.8,NA,28.2,44450,NA,NA,NA,NA,NA,380,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2011-11-19,79.4188,26.3,NA,26.8,42900,NA,NA,NA,NA,NA,382,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2011-11-26,78.9688,26.1,NA,26.6,42400,NA,NA,NA,NA,NA,382,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2011-12-03,78.9125,26,NA,26.6,42500,NA,NA,NA,NA,NA,385,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2011-12-10,78.7438,25.9,NA,26.7,42400,NA,NA,NA,NA,NA,395,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2011-12-17,77.8438,25.4,NA,26.7,42100,NA,NA,NA,NA,NA,373,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2011-12-24,79.2219,26.2,NA,26.9,43000,NA,NA,NA,NA,NA,377,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2011-12-31,79.7,26.5,NA,26.9,43300,NA,NA,NA,NA,NA,385,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2012-01-07,80.15,26.7,NA,27,43600,NA,NA,NA,NA,NA,391,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2012-01-14,79.5875,26.4,NA,27.1,43500,NA,NA,NA,NA,NA,389,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2012-01-21,80.4313,27,NA,27.2,43800,NA,NA,NA,NA,NA,371,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2012-01-28,79.7563,26.5,NA,27.1,43600,NA,NA,NA,NA,NA,367,NA,NA,NA,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2012-02-04,80.3188,26.8,NA,27.1,43700,NA,NA,NA,NA,NA,352,NA,NA,NA,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2012-02-11,80.0938,26.6,NA,27,43600,NA,NA,NA,NA,NA,353,NA,NA,NA,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2012-02-18,79.8125,26.5,NA,26.9,43300,NA,NA,NA,NA,NA,352,NA,NA,NA,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2012-02-25,79.1938,26.2,NA,26.7,42800,NA,NA,NA,NA,NA,358,NA,NA,NA,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2012-03-03,80.2625,26.8,NA,26.7,43300,NA,NA,NA,NA,NA,363,NA,NA,NA,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2012-03-10,79.1375,26.1,NA,26.7,42600,NA,NA,NA,NA,NA,382,NA,NA,NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2012-03-17,79.9813,26.6,NA,26.4,42600,NA,NA,NA,NA,NA,402,NA,NA,NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2012-03-24,79.1375,26.1,NA,26.5,42400,NA,NA,NA,NA,NA,408,NA,NA,NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weekly,2012-03-31,79.475,26.4,NA,26.5,42500,NA,NA,NA,NA,NA,393,NA,NA,NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
